row_id,task_id,condition,model,run_dir,spec_path,workspace_path,score_path,deterministic_grader_pass,deterministic_partial,haiku45_verdict,g3flash_verdict,gpt54mini_verdict,human_rater_id,human_verdict,human_reason,time_spent_sec
R0001,CR1_review_respond,restricted,lb100_gemini-3.1-pro-preview_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CR1_review_respond/20260419_233853_709d4348,/u/ybkim95/TeamBench/tasks/CR1_review_respond/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CR1_review_respond/20260419_233853_709d4348/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CR1_review_respond/20260419_233853_709d4348/reports/score.json,False,0.75,FAIL,FAIL,FAIL,,,,
R0002,CROSS6_grpc_rest_bridge,team_no_verify,lb100_gpt5nano_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS6_grpc_rest_bridge/20260423_151614_0d3e675c,/u/ybkim95/TeamBench/tasks/CROSS6_grpc_rest_bridge/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS6_grpc_rest_bridge/20260423_151614_0d3e675c/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS6_grpc_rest_bridge/20260423_151614_0d3e675c/reports/score.json,True,1.0,PASS,PASS,PASS,,,,
R0003,CROSS3_protocol_bridge,restricted,lb100_gpt5nano_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS3_protocol_bridge/20260419_234334_dfafa639,/u/ybkim95/TeamBench/tasks/CROSS3_protocol_bridge/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS3_protocol_bridge/20260419_234334_dfafa639/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CROSS3_protocol_bridge/20260419_234334_dfafa639/reports/score.json,True,1.0,PASS,PASS,PASS,,,,
R0004,IR3_multi_source,team_no_plan,lb100_gpt5mini_5cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR3_multi_source/20260421_093246_34459877,/u/ybkim95/TeamBench/tasks/IR3_multi_source/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR3_multi_source/20260421_093246_34459877/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/IR3_multi_source/20260421_093246_34459877/reports/score.json,False,0.92,FAIL,FAIL,FAIL,,,,
R0005,CRYPTO3_cert_chain,team_no_plan,vllm:google/gemma-4-31B-it@http://localhost:8006/v1,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO3_cert_chain/20260421_083222_873c40b3,/u/ybkim95/TeamBench/tasks/CRYPTO3_cert_chain/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO3_cert_chain/20260421_083222_873c40b3/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/CRYPTO3_cert_chain/20260421_083222_873c40b3/reports/score.json,True,1.0,PASS,PASS,PASS,,,,
R0006,DIST2_consensus_partition,team_no_plan,gpt-5.4-nano,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST2_consensus_partition/20260419_155351_48d1f503,/u/ybkim95/TeamBench/tasks/DIST2_consensus_partition/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST2_consensus_partition/20260419_155351_48d1f503/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/DIST2_consensus_partition/20260419_155351_48d1f503/reports/score.json,False,0.4167,FAIL,FAIL,FAIL,,,,
R0007,P3_access_control,team_no_plan,lb100_gemma4-31b_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/P3_access_control/20260421_071136_8b2ee9e2,/u/ybkim95/TeamBench/tasks/P3_access_control/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/P3_access_control/20260421_071136_8b2ee9e2/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/P3_access_control/20260421_071136_8b2ee9e2/reports/score.json,False,0.82,FAIL,FAIL,FAIL,,,,
R0008,D7_etl_reconciliation,team_no_plan,lb100_gpt54_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D7_etl_reconciliation/20260419_175740_b61de87a,/u/ybkim95/TeamBench/tasks/D7_etl_reconciliation/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D7_etl_reconciliation/20260419_175740_b61de87a/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/D7_etl_reconciliation/20260419_175740_b61de87a/reports/score.json,False,0.0,FAIL,FAIL,FAIL,,,,
R0009,RDS11_survivorship_bias,team_no_plan,lb100_g31lite_3cond_seed0.json.checkpoint.jsonl,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/RDS11_survivorship_bias/20260422_053248_2d40d193,/u/ybkim95/TeamBench/tasks/RDS11_survivorship_bias/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/RDS11_survivorship_bias/20260422_053248_2d40d193/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/RDS11_survivorship_bias/20260422_053248_2d40d193/reports/score.json,False,0.3333333333333333,FAIL,FAIL,FAIL,,,,
R0010,SPEC5_config_system,team_no_verify,openrouter:qwen/qwen3-14b,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260425_041524_2a3f3c2b,/u/ybkim95/TeamBench/tasks/SPEC5_config_system/spec.md,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260425_041524_2a3f3c2b/workspace,/u/ybkim95/TeamBench/shared/ablation_results/ablation_runs/SPEC5_config_system/20260425_041524_2a3f3c2b/reports/score.json,False,0.05,FAIL,FAIL,FAIL,,,,
